currency,maxLeverage,markPrice,pricePrecision,fdv(USDT),流通市值(USDT),lastFundingRate,lastFundingTime,fundingTimesPerDay,todayFundRate,avgDayFundRate72h,volume24h(USDT),priceChange24h(USDT),priceChange24h%(USDT),openInterest(USDT),lastUpdateTime,spotEnabled
BTCUSDT,125,68129.00000000,1,68128092589849.00,68128092589849.00,-0.00000960,,3,-0.0000288,0.00003867,18337679379.50,2519.10,3.840,5447510087.52,1772076496,false
ETHUSDT,100,2050.56000000,2,,226988400000.00,0.00002303,,3,0.00006909,-0.00016092,15666946397.38,138.02,7.219,3886717123.05,1772076496,false
BCHUSDT,125,497.50101690,2,48008848.13,48008848.13,-0.00020644,,3,-0.00061932,-0.0002668,292274234.25,1.33,0.268,178043869.44,1772076496,false
XRPUSDT,75,1.43616263,4,467901784.85,467901784.85,0.00008413,,3,0.00025239,-0.00023347,1413194608.7293,0.0673,4.917,405760858.67,1772076496,false
LTCUSDT,75,56.37000000,2,41995650.00,41995650.00,0.00008825,,3,0.00026475,-0.00011786,153465688.77,3.91,7.455,74496336.97,1772076496,false
TRXUSDT,25,0.28498713,5,11524.31,11524.31,-0.00012700,,3,-0.000381,-0.00025187,49578237.25731,-0.00103,-0.360,97497319.52,1772076496,false
ETCUSDT,75,9.11100000,3,1919687700.00,1418323902.05,0.00010000,,3,0.0003,-0.00025823,55525798.909,0.692,8.220,19707614.7,1772076496,false
LINKUSDT,75,9.22000000,3,9220000000.00,6528681723.40,0.00010000,,3,0.0003,-0.000027,223213038.833,0.686,8.038,84451142.74,1772076496,false
XLMUSDT,50,0.16306000,5,8153291369.31,5357862930.15,0.00010000,,3,0.0003,-0.00022894,56558388.45142,0.00967,6.305,27074188.24,1772076496,false
ADAUSDT,75,0.29600000,4,133764524.69,133764524.69,0.00010000,,3,0.0003,-0.00012895,420571928.78180,0.02900,10.861,103582878.47,1772076496,false
XMRUSDT,50,348.87000000,2,6435515579.28,6435515579.28,0.00010000,,3,0.0003,0.0003,42762478.74,19.97,6.072,23260178.46,1772076496,false
DASHUSDT,50,35.68862162,2,675228721.05,449836338.99,-0.00013216,,3,-0.00039648,-0.00140531,37747159.95,2.68,8.126,14935059.24,1772076496,false
ZECUSDT,50,251.46000000,2,30175200.00,30175200.00,-0.00040718,,3,-0.00122154,0.00001858,415874952.55,10.02,4.150,105174598.44,1772076496,false
XTZUSDT,50,0.39551398,3,1997345.60,1997345.60,0.00005000,,3,0.00015,-0.00018296,7745938.169,0.022,5.882,4823834.01,1772076496,false
BNBUSDT,75,627.81877252,2,125563754504.00,85608691032.19,0.00000803,,3,0.00002409,0,604669516.310,32.590,5.476,317820923.23,1772076496,false
ATOMUSDT,50,1.93500000,3,957997125.99,957997125.99,-0.00365353,,3,-0.01096059,0.00005856,60320067.508,-0.128,-6.208,25050112.9,1772076496,false
ONTUSDT,25,0.04350000,4,778650.00,778650.00,-0.00041098,,3,-0.00123294,-0.0026275,4830956.6144,0.0023,5.583,1958999.38,1772076496,false
IOTAUSDT,50,0.07034800,4,339566601.92,303016787.65,0.00010000,,3,0.0003,0.00003112,5229801.8926,0.0036,5.397,3355865.16,1772076496,false
BATUSDT,50,0.12110000,4,181650000.00,181132255.96,0.00008424,,3,0.00025272,-0.00018301,4090890.8124,0.0007,0.582,2548949.6,1772076496,false
VETUSDT,50,0.00777900,6,674537583.51,668877635.32,0.00010000,,3,0.0003,-0.00054622,15382524.647356,0.000564,7.817,5833730.14,1772076496,false
NEOUSDT,50,2.82112823,3,282112823.00,198974174.06,0.00001598,,3,0.00004794,-0.00026373,4318987.700,0.174,6.573,4164094.56,1772076496,false
QTUMUSDT,25,0.94700000,3,102107818.48,100355047.43,0.00010000,,3,0.0003,0.00015518,1908753.886,0.054,6.047,1665523.28,1772076496,false
IOSTUSDT,25,0.00123310,6,110979000.00,38742510.58,0.00010000,,3,0.0003,-0.0002021,2737328.295165,-0.000006,-0.484,1249426.23,1772076496,false
THETAUSDT,50,0.19738653,4,197386530.00,197386530.00,0.00010000,,3,0.0003,-0.00046946,6694784.5585,0.0147,8.046,3037739.5,1772076496,false
ALGOUSDT,50,0.09032754,4,903275400.00,802547943.31,0.00010000,,3,0.0003,-0.00047983,22186097.4934,0.0053,6.228,7532212.27,1772076496,false
ZILUSDT,50,0.00429321,5,90157410.00,85560407.57,0.00005000,,3,0.00015,-0.00108888,15835371.16673,0.00021,5.147,6583277.76,1772076496,false
KNCUSDT,50,0.13794321,4,34803285.69,23471430.46,0.00010000,,3,0.0003,-0.00010863,1297044.24060,0.00670,5.107,1394804.22,1772076496,false
ZRXUSDT,50,0.11304903,4,113049030.00,95910408.50,-0.00009841,,3,-0.00029523,-0.0007003,3726047.3754,0.0091,8.758,3163817.43,1772076496,false
COMPUSDT,50,18.43006085,2,184300608.50,178185311.58,-0.00023546,,3,-0.00070638,-0.0004624,6834847.91,0.53,2.961,4635592.8,1772076496,false
OMGUSDT,25,0.15445273,4,108116911.00,100393281.68,0.00000000,,3,0,0.0003,10920359.6502,-0.0006,-0.206,,1772076496,false
DOGEUSDT,50,0.10099000,5,258938360.00,258938360.00,0.00010000,,3,0.0003,-0.00010762,896470261.242660,0.008020,8.628,170051693.68,1772076496,false
SXPUSDT,50,0.02158253,4,14531933.19,14495861.79,0.00000000,,3,0,-0.0201819,114647898.4085,-0.0067,-9.267,,1772076496,false
KAVAUSDT,50,0.05045185,4,54631649.65,54631649.65,0.00005000,,3,0.00015,0.00000319,2276764.6719,0.0026,5.439,1685143.21,1772076496,false
