time,orderId,symbol,orderType,side,price,avgPrice,executed,amount,triggerConditions,status
2026-02-25 08:03:01,48063176,1000CHEEMSUSDT Perpetual,MARKET,SELL,0,0.0004299,99.5597 USDT,99.5597 USDT,-,Filled
2026-02-25 08:02:46,57085099,MOODENGUSDT Perpetual,MARKET,SELL,0,0.0513100,99.9519 USDT,99.9519 USDT,-,Filled
2026-02-25 08:02:43,73929770,GOATUSDT Perpetual,MARKET,SELL,0,0.0191100,99.9453 USDT,99.9453 USDT,-,Filled
2026-02-25 08:02:38,201790151,DOGSUSDT Perpetual,MARKET,SELL,0,0.0000266,99.6255 USDT,99.6255 USDT,-,Filled
2026-02-25 08:02:36,74536652,POPCATUSDT Perpetual,MARKET,SELL,0,0.0477529,99.2783 USDT,99.2783 USDT,-,Filled
2026-02-25 08:02:27,69923992,MEWUSDT Perpetual,MARKET,SELL,0,0.0005864,99.7195 USDT,99.7195 USDT,-,Filled
2026-02-25 08:02:19,110762481,WUSDT Perpetual,MARKET,SELL,0,0.01911000,99.9988 USDT,99.9988 USDT,-,Filled
2026-02-25 08:02:10,95494633,WIFUSDT Perpetual,MARKET,SELL,0,0.19560000,99.9907 USDT,99.9907 USDT,-,Filled
2026-02-25 08:02:03,113384064,1000FLOKIUSDT Perpetual,MARKET,SELL,0,0.0284500,99.9449 USDT,99.9449 USDT,-,Filled
2026-02-25 08:02:01,333064824,1000PEPEUSDT Perpetual,MARKET,SELL,0,0.0039220,99.9835 USDT,99.9835 USDT,-,Filled
2026-02-25 06:52:00,172453013,AVAXUSDT Perpetual,MARKET,SELL,0,8.4970,195.4310 USDT,195.4310 USDT,-,Filled
2026-02-25 06:51:58,1731349546,SOLUSDT Perpetual,MARKET,SELL,0,81.500000,199.6750 USDT,199.6750 USDT,-,Filled
2026-02-25 06:51:55,706078303,DOGEUSDT Perpetual,MARKET,SELL,0,0.092100,199.9491 USDT,199.9491 USDT,-,Filled
2026-02-25 06:51:51,588172405,ADAUSDT Perpetual,MARKET,SELL,0,0.26410,199.9237 USDT,199.9237 USDT,-,Filled
2026-02-25 06:51:43,1272658014,BCHUSDT Perpetual,MARKET,SELL,0,490.63084,199.6867 USDT,199.6867 USDT,-,Filled
2026-02-25 06:51:37,8428643895,ETHUSDT Perpetual,MARKET,BUY,0,1885.89000,999.5217 USDT,999.5217 USDT,-,Filled
2026-02-25 06:51:34,12545072849,BTCUSDT Perpetual,MARKET,BUY,0,64903.80000,973.5570 USDT,973.5570 USDT,-,Filled
2026-02-25 06:44:01,706071244,DOGEUSDT Perpetual,MARKET,BUY,0,0.092290,49.8366 USDT,49.8366 USDT,-,Filled
2026-02-25 06:44:00,1731343989,SOLUSDT Perpetual,MARKET,BUY,0,81.770000,98.9417 USDT,98.9417 USDT,-,Filled
2026-02-25 06:43:58,12545056616,BTCUSDT Perpetual,MARKET,BUY,0,65065.70000,455.4599 USDT,455.4599 USDT,-,Filled
2026-02-25 06:43:57,8428633486,ETHUSDT Perpetual,MARKET,BUY,0,1891.15000,493.5901 USDT,493.5901 USDT,-,Filled
2026-02-25 05:13:34,705924408,DOGEUSDT Perpetual,MARKET,SELL,0,0.092450,49.9231 USDT,49.9231 USDT,-,Filled
2026-02-25 05:13:32,1731124627,SOLUSDT Perpetual,MARKET,SELL,0,81.980000,99.1958 USDT,99.1958 USDT,-,Filled
2026-02-25 04:43:21,8427890740,ETHUSDT Perpetual,MARKET,SELL,0,1912.57989,499.1834 USDT,499.1834 USDT,-,Filled
2026-02-25 04:43:16,12543274704,BTCUSDT Perpetual,MARKET,SELL,0,65578.70000,459.0509 USDT,459.0509 USDT,-,Filled
