currency,size_usdt,direct,lever,reduce_only
BTCUSDT,150.0,SHORT,2,
ETHUSDT,150.0,SHORT,2,
SOLUSDT,150.0,SHORT,2,
BNBUSDT,150.0,SHORT,2,
XRPUSDT,150.0,SHORT,2,
ADAUSDT,150.0,SHORT,2,
DOTUSDT,150.0,SHORT,2,
AVAXUSDT,150.0,SHORT,2,
BCHUSDT,150.0,SHORT,2,
SUIUSDT,150.0,SHORT,2,
APTUSDT,150.0,SHORT,2,
LTCUSDT,150.0,SHORT,2,
NEARUSDT,150.0,SHORT,2,
ETCUSDT,150.0,SHORT,2,
FTMUSDT,150.0,SHORT,2,
TONUSDT,150.0,SHORT,2,
INJUSDT,150.0,SHORT,2,
ATOMUSDT,150.0,SHORT,2,
SEIUSDT,150.0,SHORT,2,
KSMUSDT,150.0,SHORT,2,
