coin,szi,direct,leverage_type,leverage_value,entryPx,positionValue,unrealizedPnl,returnOnEquity,liquidationPx,marginUsed,marginUsedPercentage,maxLeverage,cumFunding_allTime,cumFunding_sinceOpen,cumFunding_sinceChange,time,lastFundingRate,markPrice,volume24h(USDT),openInterest(USDT),maxPositionAtMaxLeverage(USDT),maxPositionCurLeverage,maxAvailablePositionOpen(USDT),binanceUsdm
1000CHEEMS,231588.0,Short,cross,2,0.0004299,106.95428604,-7.39460484,-0.06913799450014074,0.02172194,53.47714302,2.52,75,0.0,,,1772006581325,0.00005000,0.00046183,1548487.10739408,1069807.50937424,5000,133.33,26.38,yes
1000FLOKI,3513.0,Short,cross,2,0.02845,106.0926,-6.14775,-0.057947019867549666,1.41803559,53.0463,2.50,20,0.0,,,1772006523568,0.00003041,0.0302,16042477.6136,4608014.0896000005,5000,500,393.91,yes
1000PEPE,25493.0,Short,cross,2,0.003922,104.3377504,-4.3542044,-0.04173182173573104,0.19534006,52.1688752,2.45,25,0.0,,,1772006521286,0.00010000,0.0040928,484656266.214242,67212579.0986825,5000,400,295.66,yes
AAVE,0,,cross,0,,,,,,,,50,,,,,-0.00009892,118.31000000,97185004.147,43378101.218,5000,,,yes
ADA,757.0,Short,cross,2,0.2641,223.36876971,-23.44506971,-0.10496126983391083,6.8219669,111.684384855,5.26,75,0.0,,,1772002311515,0.00010000,0.29507103,421680635.1072,103333800.3048,10000,266.67,43.3,yes
APT,0,,cross,0,,,,,,,,50,,,,,0.00008462,0.97680000,142937411.93424,30206725.934880003,5000,,,yes
ARB,0,,cross,0,,,,,,,,50,,,,,-0.00004232,0.09934179,91697074.37710533,25422412.906793013,5000,,,yes
ATOM,0,,cross,0,,,,,,,,50,,,,,-0.00374925,1.93839971,58521369.87990603,25375297.226813894,5000,,,yes
AVAX,23.0,Short,cross,2,8.497,217.396,-21.965,-0.10103681760473975,223.43778263,108.698,5.12,50,0.0,,,1772002320741,0.00010000,9.452,302972040.50792587,85514753.69221148,5000,200,0,yes
BCH,0.407,Short,cross,2,490.6308353808,203.50814,-3.82139,-0.01877757813520383,12669.95393881,101.75407,4.79,125,0.0,,,1772002303251,-0.00025768,500.02,289106169.78424,178934060.57614,50000,800,596.49,yes
BLUR,0,,cross,0,,,,,,,,25,,,,,-0.00007455,0.02086264,2676855.1501599196,2141846.93395512,5000,,,yes
BNB,0,,cross,0,,,,,,,,75,,,,,0.00002145,628.30115091,606884877.8800818,318339308.4358408,5000,,,yes
BTC,0.015,Long,cross,2,64903.8,1022.6175,49.0605,0.047975416027987,0.0,511.30875,24.10,125,0.0,,,1772002294010,-0.00000234,68174.5,18186046706.276802,5455081094.644799,50000,800,0,yes
DOGE,2171.0,Short,cross,2,0.0921,218.79338,-18.84428,-0.08612820003969042,2.3776823,109.39669,5.15,50,0.0,,,1772002315467,0.00010000,0.10078,898648142.49071,169332528.74278998,5000,200,0,yes
